file,segment_id,t_onset_s,t_offset_s
Bird songs\grive.wav,0,1.6602267573696146,2.0549659863945577
Bird songs\grive.wav,1,2.6354648526077096,3.0418140589569163
Bird songs\grive.wav,2,4.551111111111111,4.620770975056689
Bird songs\grive.wav,3,5.015510204081632,5.085170068027211
Bird songs\grive.wav,4,5.445079365079365,5.526349206349207
Bird songs\grive.wav,5,5.909478458049887,5.979138321995465
Bird songs\grive.wav,6,6.408707482993197,6.489977324263038
Bird songs\grive.wav,7,7.024036281179138,7.279455782312925
Bird songs\grive.wav,8,7.697414965986394,7.999274376417233
Bird songs\grive.wav,9,8.382403628117913,8.672653061224489
Bird songs\grive.wav,10,9.195102040816327,9.450521541950113
Bird songs\grive.wav,11,9.97297052154195,10.170340136054422
Bird songs\merle.wav,0,2.1942857142857144,2.345215419501134
Bird songs\merle.wav,1,2.4729251700680273,2.9605442176870747
Bird songs\merle.wav,2,3.0882539682539685,3.4946031746031747
Bird songs\merle.wav,3,4.08671201814059,4.493061224489796
Bird songs\merle.wav,4,9.1718820861678,9.334421768707482
Bird songs\merle.wav,5,9.438911564625851,9.682721088435374
Bird songs\merle.wav,6,9.810430839002267,10.065850340136054
Bird songs\merle.wav,7,10.193560090702947,10.599909297052154
Bird songs\mésange charbonnière.wav,0,2.1130158730158732,2.3219954648526078
Bird songs\mésange charbonnière.wav,1,2.461315192743764,2.681904761904762
Bird songs\mésange charbonnière.wav,2,2.809614512471655,3.030204081632653
Bird songs\mésange charbonnière.wav,3,3.1579138321995464,3.378503401360544
Bird songs\mésange charbonnière.wav,4,3.517823129251701,3.7384126984126986
Bird songs\mésange charbonnière.wav,5,3.889342403628118,4.1099319727891155
Bird songs\mésange charbonnière.wav,6,4.249251700680272,4.307301587301588
Bird songs\mésange charbonnière.wav,7,4.423401360544218,4.46984126984127
Bird songs\mésange charbonnière.wav,8,4.609160997732427,4.829750566893424
Bird songs\mésange charbonnière.wav,9,4.957460317460318,5.154829931972789
Bird songs\mésange charbonnière.wav,10,6.815056689342404,7.082086167800454
Bird songs\mésange charbonnière.wav,11,7.244625850340136,7.523265306122449
Bird songs\mésange charbonnière.wav,12,7.685804988662132,7.778684807256236
Bird songs\mésange charbonnière.wav,13,7.894784580498866,7.964444444444444
Bird songs\mésange charbonnière.wav,14,8.126984126984127,8.219863945578231
Bird songs\mésange charbonnière.wav,15,8.347573696145124,8.417233560090702
Bird songs\mésange charbonnière.wav,16,8.579773242630386,8.672653061224489
Bird songs\mésange charbonnière.wav,17,8.78875283446712,8.870022675736962
Bird songs\mésange charbonnière.wav,18,9.044172335600907,9.137052154195011
Bird songs\mésange charbonnière.wav,19,9.253151927437642,9.311201814058958
Bird songs\mésange charbonnière.wav,20,9.496961451247165,9.58984126984127
Bird songs\mésange charbonnière.wav,21,9.7059410430839,9.810430839002267
Bird songs\mésange charbonnière.wav,22,9.961360544217687,10.054240362811791
Bird songs\pic vert.wav,0,1.253877551020408,3.053424036281179
Bird songs\pic vert.wav,1,3.1579138321995464,3.1927437641723357
Bird songs\pic vert.wav,2,5.38702947845805,5.468299319727891
Bird songs\pic vert.wav,3,5.572789115646258,6.455147392290249
Bird songs\pic vert.wav,4,9.148662131519274,10.634739229024943
Bird songs\pie.wav,0,1.9620861678004535,2.2523356009070294
Bird songs\pie.wav,1,2.4961451247165534,2.5541950113378684
Bird songs\pie.wav,2,2.670294784580499,2.8676643990929707
Bird songs\pie.wav,3,3.5062131519274375,4.144761904761904
Bird songs\pie.wav,4,4.632380952380952,4.725260770975057
Bird songs\pie.wav,5,4.841360544217687,5.12
Bird songs\pie.wav,6,5.259319727891157,5.8165986394557825
Bird songs\pie.wav,7,6.977596371882086,7.418775510204082
Bird songs\pie.wav,8,8.231473922902495,8.881632653061224
Bird songs\pie.wav,9,9.380861678004536,9.798820861678005
Bird songs\pie.wav,10,10.47219954648526,10.669569160997732
Bird songs\pie.wav,11,11.064308390022676,11.110748299319727
Bird songs\pigeon.wav,0,1.6718367346938776,2.182675736961451
Bird songs\pigeon.wav,1,2.3568253968253967,2.5309750566893423
Bird songs\pigeon.wav,2,3.006984126984127,3.1927437641723357
Bird songs\pigeon.wav,3,3.332063492063492,3.6687528344671203
Bird songs\pigeon.wav,4,4.179591836734694,4.388571428571429
Bird songs\pigeon.wav,5,4.690430839002268,5.375419501133787
Bird songs\pigeon.wav,6,5.5495691609977325,5.8165986394557825
Bird songs\pigeon.wav,7,6.257777777777778,6.408707482993197
Bird songs\pigeon.wav,8,6.594467120181406,6.896326530612245
Bird songs\pigeon.wav,9,7.511655328798186,7.720634920634921
Bird songs\pigeon.wav,10,8.02249433106576,8.649433106575964
Bird songs\pigeon.wav,11,8.846802721088435,9.125442176870749
Bird songs\pigeon.wav,12,9.613061224489796,9.787210884353742
Bird songs\pigeon.wav,13,9.984580498866213,10.08907029478458
Bird songs\pigeon.wav,14,10.205170068027211,10.24
Bird songs\pinson.wav,0,2.786394557823129,2.8328344671201813
Bird songs\pinson.wav,1,2.9373242630385485,4.1099319727891155
Bird songs\pinson.wav,2,4.214421768707483,4.911020408163266
Bird songs\pinson.wav,3,8.928072562358278,10.263219954648527
Bird songs\pinson.wav,4,10.379319727891156,11.064308390022676
Bird songs\rouge-gorge.wav,0,3.0418140589569163,3.564263038548753
Bird songs\rouge-gorge.wav,1,3.7268027210884354,4.35374149659864
Bird songs\rouge-gorge.wav,2,7.743854875283446,7.778684807256236
Bird songs\rouge-gorge.wav,3,7.952834467120182,8.17342403628118
Bird songs\rouge-gorge.wav,4,8.417233560090702,8.510113378684807
Bird songs\rouge-gorge.wav,5,8.614603174603175,9.229931972789116
Bird songs\rouge-gorge.wav,6,9.369251700680271,9.415691609977324
Bird songs\sitelle torchepot.wav,0,2.7399546485260773,3.0418140589569163
Bird songs\sitelle torchepot.wav,1,3.250793650793651,3.541043083900227
Bird songs\sitelle torchepot.wav,2,3.7616326530612243,4.063492063492063
Bird songs\sitelle torchepot.wav,3,4.388571428571429,4.6788208616780045
Bird songs\sitelle torchepot.wav,4,7.174965986394557,7.441995464852607
Bird songs\sitelle torchepot.wav,5,7.720634920634921,8.02249433106576
Bird songs\sitelle torchepot.wav,6,8.382403628117913,8.649433106575964
Bird songs\sitelle torchepot.wav,7,9.787210884353742,10.08907029478458
Bird songs\sitelle torchepot.wav,8,10.309659863945578,10.611519274376418
Bird songs\sitelle torchepot.wav,9,10.89015873015873,11.168798185941043
Bird songs\tourterelle.wav,0,1.6718367346938776,1.7066666666666668
Bird songs\tourterelle.wav,1,1.9736961451247166,2.0085260770975055
Bird songs\tourterelle.wav,2,2.3103854875283445,2.48453514739229
Bird songs\tourterelle.wav,3,3.320453514739229,3.4249433106575964
Bird songs\tourterelle.wav,4,3.610702947845805,3.6919727891156464
Bird songs\tourterelle.wav,5,3.924172335600907,4.005442176870749
Bird songs\tourterelle.wav,6,4.272471655328798,4.423401360544218
Bird songs\tourterelle.wav,7,5.410249433106576,5.491519274376417
Bird songs\tourterelle.wav,8,5.677278911564626,5.758548752834467
Bird songs\tourterelle.wav,9,5.88625850340136,6.0836281179138325
Bird songs\tourterelle.wav,10,6.362267573696145,6.431927437641724
Bird songs\tourterelle.wav,11,6.815056689342404,6.884716553287982
Bird songs\tourterelle.wav,12,7.778684807256236,7.859954648526077
Bird songs\tourterelle.wav,13,8.057324263038549,8.370793650793651
Bird songs\tourterelle.wav,14,8.730702947845804,8.870022675736962
Bird songs\tourterelle.wav,15,9.775600907029478,9.984580498866213
Bird songs\tourterelle.wav,16,10.193560090702947,10.27482993197279
Bird songs\tourterelle.wav,17,10.878548752834467,10.924988662131518
